Data,EUT,Pad_1,Pad_2,Pad_3,Chain,Sig_terminal,Prob_terminal,Gnd_terminal,Type,Img osc,Obs
03/05/2019,short_wire,,,,,bnc,bnc,,time,ALL0000,
03/05/2019,short_wire,,,,,bnc,bnc,,freq,ALL0003,
03/05/2019,short_wire,,,,,coax,coax,,time,ALL0001,
03/05/2019,short_wire,,,,,coax,coax,,freq,ALL0002,
03/05/2019,board_1,sig,prob,,,bnc,bnc,,time,ALL0004,
03/05/2019,board_1,sig,prob,,,bnc,bnc,,freq,ALL0005,
06/05/2019,short_wire,,,,,coax,coax,,time,ALL0007,cabo coaxial direto entre gerador e osciloscópio
06/05/2019,short_wire,,,,,bnc,bnc,,time,ALL0008,cabo coaxial com conectores BNC entre gerador e osciloscópio
06/05/2019,board_1,sig,sig,,,pad_1,pad_1,,time,ALL0009,
06/05/2019,board_2,sig,sig,,,pad_1,pad_1,,time,ALL0010,
06/05/2019,board_3,sig,sig,,,pad_1,pad_1,,time,ALL0011,
06/05/2019,board_4,sig,off,prob,,pad_1,pad_3,off,time,ALL0012,
06/05/2019,board_4,sig,gnd,prob,,pad_1,pad_3,pad_2,time,ALL0013,
06/05/2019,board_4,sig,prob,off,,pad_1,pad_2,off,time,ALL0014,
06/05/2019,board_4,sig,prob,gnd,,pad_1,pad_2,pad_3,time,ALL0015,
06/05/2019,board_5,sig,prob,,off,pad_1,pad_2,off,time,ALL0016,
06/05/2019,board_5,sig,,,,pad_2,malha,trilha esquerda,time,ALL0017,
06/05/2019,board_5,sig,,,,pad_2,trilha esquerda,malha,time,ALL0018,
06/05/2019,board_6,sig,,,,pad_2,trilha esquerda,desconectado,time,ALL0019,
06/05/2019,board_6,sig,,,,pad_2,trilha esquerda,malha,time,ALL0020,
06/05/2019,protoboard_2wire,,,,,fio direita,fio esquerda,,time,ALL0022,
06/05/2019,protoboard_3wire,,,,,fio direita,fio esquerda,fio central,time,ALL0023,
06/05/2019,protoboard_3wire,,,,,fio direita,fio esquerda,desconectado,time,ALL0024,
06/05/2019,board_7,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0025,
06/05/2019,board_7,sig,,,,trilha direita,trilha esquerda,malha,time,ALL0026,
06/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0027,
06/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,trilha central,time,ALL0028,
06/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,trilha central e malha,time,ALL0029,
06/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,malha,time,ALL0030,
06/05/2019,board_8,sig,,,,trilha direita,trilha central,desconectado,time,ALL0031,
06/05/2019,board_8,sig,,,,trilha direita,trilha central,trilha esquerda,time,ALL0032,
06/05/2019,board_8,sig,,,,trilha direita,trilha central,trilha esquerda e malha,time,ALL0033,
06/05/2019,board_8,sig,,,,trilha direita,trilha central,malha,time,ALL0034,
06/05/2019,board_9,sig,,,,inicio da trilha,fim da trilha,,time,ALL0035,
06/05/2019,board_9,sig,,,,inicio da trilha,fim da trilha,,time,ALL0036,"Ch1 -> BNC, Ch2 -> Ponteira Tektronix"
06/05/2019,board_9,sig,,,,inicio da trilha,fim da trilha,,time,ALL0037,Detalhe no formato de onda com a conexão adicional ao circuito da ponteira Tektronix no Ch2 do osciloscópio
06/05/2019,board_9,sig,,,,inicio da trilha,fim da trilha,,time,ALL0038,Detalhe no formato de onda com a desconexão adicional ao circuito da ponteira Tektronix no Ch2 do osciloscópio
13/05/2019,DIRECT,,,,,BNC jacaré,Tektronix,,time,ALL0000,cabos entre gerador e osciloscópio
13/05/2019,board_1,sig,,,,trilha direita,trilha esquerda,,time,ALL0001,
13/05/2019,board_2,sig,,,,trilha direita,trilha esquerda,,time,ALL0002,
13/05/2019,board_3,sig,,,,trilha direita,trilha esquerda,,time,ALL0003,
13/05/2019,board_4,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0004,
13/05/2019,board_4,sig,,,,trilha direita,trilha esquerda,trilha central,time,ALL0005,
13/05/2019,board_4,sig,,,,trilha direita,trilha central,desconectado,time,ALL0006,
13/05/2019,board_4,sig,,,,trilha direita,trilha central,trilha esquerda,time,ALL0007,
13/05/2019,board_5,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0008,
13/05/2019,board_5,sig,,,,trilha direita,malha,trilha esquerda,time,ALL0009,
13/05/2019,board_5,sig,,,,trilha direita,trilha esquerda,malha,time,ALL0010,
13/05/2019,board_6,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0011,
13/05/2019,board_6,sig,,,,trilha direita,trilha esquerda,malha,time,ALL0012,
13/05/2019,protoboard_2wire,,,,,fio direita,fio central,,time,ALL0013,
13/05/2019,protoboard_3wire,,,,,fio direita,fio esquerda,fio central,time,ALL0014,
13/05/2019,protoboard_3wire,,,,,fio direita,fio esquerda,desconectado,time,ALL0015,
13/05/2019,board_7,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0016,
13/05/2019,board_7,sig,,,,trilha direita,trilha esquerda,malha,time,ALL0017,
13/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,desconectado,time,ALL0018,
13/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,trilha central,time,ALL0019,
13/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,trilha central e malha,time,ALL0020,
13/05/2019,board_8,sig,,,,trilha direita,trilha esquerda,malha,time,ALL0021,
13/05/2019,board_8,sig,,,,trilha direita,trilha central,desconectado,time,ALL0022,
13/05/2019,board_8,sig,,,,trilha direita,trilha central,trilha esquerda,time,ALL0023,
13/05/2019,board_8,sig,,,,trilha direita,trilha central,trilha esquerda e malha,time,ALL0024,
13/05/2019,board_8,sig,,,,trilha direita,trilha central,malha,time,ALL0025,
13/05/2019,board_9,sig,,,,inicio da trilha,fim da trilha,,time,ALL0026,
